"en","tr"
"Slots","Yuvalar"
"Standing Orders Rerolled","Hazır Siparişler Yenilendi"
"Swap to %s.","%s ile değiştir."
"Swapped to %s","%s ile değiştirildi"
"Synthesized: %s","Sentezlendi: %s"
"TARGET","HEDEF"
"TIER","AŞAMA"
"TIP: Enable Offline Combat in Options to keep fighting and earning while you're away.","İPUCU: Uzaktayken savaşmaya ve kazanmaya devam etmek için Seçenekler'den Çevrimdışı Savaşı etkinleştirin."
"TYPE","TÜR"
"This item has no market value — it's used in crafting.","Bu eşyanın piyasa değeri yok — üretimde kullanılır."
"Threshold Relic [color=%s](first clear)[/color]","Eşik Yadigarı [color=%s](ilk temizleme)[/color]"
"Type: %s %s","Tür: %s %s"
"Weapon","Silah"
"Weapon: %s %s","Silah: %s %s"
"Yes, Delete Everything","Evet, Her Şeyi Sil"
"Zone Board Refreshed","Bölge Panosu Yenilendi"
"[ COMMAND & LOGISTICS ]","[ KOMUTA & LOJİSTİK ]"
"[ CONSUMABLES ]","[ SARF MALZEMELERİ ]"
"[ LOADOUT ]","[ DİZİLİM ]"
"[ LOCKED ]","[ KİLİTLİ ]"
"[ NO YIELD ]","[ VERİM YOK ]"
"[ WARP MASTERY TREE ]","[ ATLAMA USTALIK AĞACI ]"
"[ENERGY]","[ENERJİ]"
"[EXPLOSIVE]","[PATLAYICI]"
"[KINETIC]","[KİNETİK]"
"[b]Cross the event horizon.[/b]

","[b]Olay ufkunu geç.[/b]

"
"[b][color=#%s]%s[/color][/b] %s      [b][color=#%s]%s[/color][/b] Spare Parts

","[b][color=#%s]%s[/color][/b] %s      [b][color=#%s]%s[/color][/b] Yedek Parça

"
"[center]Recycle [b]%s[/b] for parts?

","[center][b]%s[/b] parçalar için geri dönüştürülsün mü?

"
"[color=#%s]This permanently destroys the module.[/color][/center]","[color=#%s]Bu, modülü kalıcı olarak yok eder.[/color][/center]"
"[color=#%s]YOU RECEIVE[/color]
","[color=#%s]ALACAKLARIN[/color]
"
"[color=#73e88c]KEEP[/color]     Exotic Matter · Warp Mastery purchases · Action Mastery · Storage upgrades

","[color=#73e88c]SAKLANAN[/color]     Egzotik Madde · Warp Ustalığı satın alımları · Eylem Ustalığı · Depo yükseltmeleri

"
"[color=#c78cff]Grant %d Exotic Shard%s[/color]

","[color=#c78cff]%d Egzotik Parça Verir%s[/color]

"
"[color=#f06b6b]Everything is wiped — Liras, ships, research, Warp Mastery, prestige.[/color]

","[color=#f06b6b]Her şey silinir — Liralar, gemiler, araştırma, Warp Ustalığı, prestij.[/color]

"
"[color=#f06b6b]RESET[/color]    Research · Ships & modules · Liras · Buildings · Resources · Skill levels  [color=#8b8f9c](keep %d%% XP)[/color]
","[color=#f06b6b]SIFIRLANAN[/color]    Araştırma · Gemiler ve modüller · Liralar · Binalar · Kaynaklar · Yetenek seviyeleri  [color=#8b8f9c](%d%% XP korunur)[/color]
"
"[color=#ffb454][b]This cannot be undone.[/b][/color]","[color=#ffb454][b]Bu geri alınamaz.[/b][/color]"
"none","hiçbiri"
"shard","parça"
"shards","parçalar"
"⟨ GRAVITATIONAL ANOMALY ⟩  The %s's collapse tears a singularity open — visible on the Sector Chart.","⟨ YERÇEKİMSEL ANORMALLİK ⟩ %s çöküşü bir tekilliği yırtarak açar — Sektör Haritasında görünür."
"⟨ MASTER KEY — %s ⟩  Auto-equipped to your Relic slot. The Warden's onslaught is now survivable — farm it at will.","⟨ ANA ANAHTAR — %s ⟩ Yadigar yuvanıza otomatik kuşanırdı. Muhafızın saldırısında artık hayatta kalınabilir — dilediğiniz gibi toplayın."
"⟨ SECTOR 11 DETECTED — THE THRESHOLD ⟩  Hostiles are Warp-Hardened, immune to conventional armaments. Execute a Warp Core reset to unlock Cryogenic tech, then research Cryogenic Armaments and craft Cryo weapons in the Shipyard.","⟨ SEKTÖR 11 TESPİT EDİLDİ — EŞİK ⟩ Düşmanlar Warp'la Güçlendirilmiştir, geleneksel silahlara bağışıktır. Kriyojenik teknolojisinin kilidini açmak için bir Warp Çekirdeği sıfırlaması gerçekleştirin, ardından Kriyojenik Silahlarını araştırın ve Tersane'de Kriyo silahları üretin."
"⟨ SECTOR 12 UNLOCKED — THE RIFT ⟩  The Warp tears a corrosive frontier open. The Rift Warden gates it with Cryo then Corrosion phases — craft Corrosion Armaments and swap presets mid-fight.","⟨ SEKTÖR 12 KİLİDİ AÇILDI — YARIK ⟩ Warp korozif bir sınırı yırtarak açar. Yarık Muhafızı onu Kriyo ve ardından Korozyon aşamalarıyla korur — Korozyon Silahları üretin ve çatışmanın ortasında önayarları değiştirin."
"⟨ SINGULARITY DETECTED ⟩  The boss's collapse tore a hole in spacetime — it is visible on the Sector Chart. The WARP tab is now online: Exotic Matter, mastery, monitoring.","⟨ TEKİLLİK TESPİT EDİLDİ ⟩ Patronun çöküşü uzay-zamanda bir delik açtı — Sektör Haritasında görünür. ATLAMA sekmesi artık çevrimiçi: Egzotik Madde, ustalık, izleme."
"[ENDGAME]","[OYUN SONU]"
"[CHAPTER 2]","[BÖLÜM 2]"
"[TUTORIAL]","[ÖĞRETİCİ]"
"[CORE GOAL]","[ANA HEDEF]"
"ELITE HUNT: %s","ELİT AVI: %s"
"Destroy the ELITE %s in %s. Warning: Extremely Dangerous.","%s adlı ELİT'i yok et. Konum: %s. Uyarı: Son Derece Tehlikeli."
"BOSS BOUNTY: %s","PATRON ÖDÜLÜ: %s"
"Destroy %d× %s in %s.","%d× %s yok et. Konum: %s."
"Hunt: %s","Av: %s"
"Destroy %d %s in %s.","%d %s yok et. Konum: %s."
"AWAKEN A MODULE","BİR MODÜLÜ UYANDIR"
"Advanced Energy","Gelişmiş Enerji"
"Aegis System","Aegis Sistemi"
"Alloy Production","Alaşım Üretimi"
"Alpha Decryption","Alfa Şifre Çözümü"
"Alpha Sector Dominance","Alfa Sektörü Hakimiyeti"
"Automated Intelligence","Otomatik Zeka"
"BREACH THE THRESHOLD","EŞİĞİ AŞ"
"Background Industry","Arka Plan Endüstrisi"
"Ballistics Theory","Balistik Teorisi"
"Belt Mining","Kuşak Madenciliği"
"Belt Overseer","Kuşak Gözetmeni"
"Beta Sector Expansion","Beta Sektörü Genişlemesi"
"Break the Blockade","Ablukayı Kır"
"Capital Doctrine","Başkent Doktrini"
"Cargo Hold","Kargo Bölmesi"
"Charge the Crystals","Kristalleri Şarj Et"
"Chemical Heat","Kimyasal Isı"
"Combat Briefing","Savaş Brifingi"
"Combat Overhaul","Savaş Revizyonu"
"Combat Ready","Savaşa Hazır"
"Combat Triage","Savaş Triyajı"
"Complex Electronics","Karmaşık Elektronik"
"Conductivity","İletkenlik"
"Copper Prospecting","Bakır Arama"
"Cybernetic Integration","Sibernetik Entegrasyon"
"Deforestation","Ormansızlaşma"
"Elite Salvage","Elit Kurtarma"
"Energy Doctrine","Enerji Doktrini"
"Essential Carbon","Temel Karbon"
"Explosive Doctrine","Patlayıcı Doktrini"
"Explosive Payload","Patlayıcı Yük"
"FORGE CRYOGENIC ARMS","KRİYOJENİK SİLAHLAR YAP"
"Factory Lights","Fabrika Işıkları"
"Field Supplies","Saha Malzemeleri"
"Final Confrontation","Son Yüzleşme"
"First Components","İlk Bileşenler"
"First Foundation","İlk Temel"
"Foundational Research","Temel Araştırma"
"Frozen Frontier","Donmuş Sınır"
"Gamma Clearance","Gama İzni"
"Glacier Belt Survey","Buzul Kuşağı Araştırması"
"Harbinger Hunt","Haberci Avı"
"Hardened Shell","Sertleştirilmiş Kabuk"
"Heavier Ordnance","Daha Ağır Mühimmat"
"Hull Integrity","Gövde Bütünlüğü"
"Hull Modernization I","Gövde Modernizasyonu I"
"Hull Modernization II","Gövde Modernizasyonu II"
"Hydration","Hidrasyon"
"INTO THE VOID","HİÇLİĞE DOĞRU"
"Industrial Energy","Endüstriyel Enerji"
"Kinetic Munitions","Kinetik Mühimmat"
"Lithium Discovery","Lityum Keşfi"
"Mars Beachhead","Mars Köprübaşı"
"Master Constructor","Usta Yapımcı"
"Material Sciences","Malzeme Bilimleri"
"Mobility Check","Hareketlilik Kontrolü"
"Munitions Run","Mühimmat Koşusu"
"Naval Expansion","Deniz Genişlemesi"
"OVERCLOCK PROTOCOL","HIZ AŞIRTMA PROTOKOLÜ"
"Open Contracts","Açık Sözleşmeler"
"Overseer's Core","Gözetmenin Çekirdeği"
"PRESTIGE VETERAN","PRESTİJLİ GAZİ"
"Power Cells","Güç Hücreleri"
"Power Online","Güç Çevrimiçi"
"Power Refit","Güç Yenilemesi"
"Power Storage","Güç Depolama"
"Prototype Arsenal","Prototip Cephanelik"
"Pulse Fire","Darbe Ateşi"
"Pump Master","Pompa Ustası"
"REWRITE THE FIRMWARE","ÜRÜN YAZILIMINI YENİDEN YAZ"
"RUNNING HOT","SICAK ÇALIŞIYOR"
"Refining Mastery","Arıtma Ustalığı"
"SALVAGE A HACK CARD","BİR HACK KARTI KURTAR"
"Salvage Operations","Kurtarma Operasyonları"
"Scanning Horizon","Ufku Taramak"
"Shields Up","Kalkanlar Devrede"
"Spacewalk Test","Uzay Yürüyüşü Testi"
"Split the Water","Suyu Ayır"
"Stock the Warheads","Savaş Başlıklarını Stokla"
"Stranded in Orbit","Yörüngede Mahsur Kalmış"
"Structural Doctrine","Yapısal Doktrin"
"THE GREAT EXPEDITION","BÜYÜK KEŞİF"
"Target Locked","Hedef Kilitlendi"
"Titan Construction","Titan İnşası"
"Void Research","Hiçlik Araştırması"
"Voltaic Storage","Voltaik Depolama"
"Warhead","Savaş Başlığı"
"Warmaster's Core","Savaş Ustasının Çekirdeği"
"Weapons Hot","Silahlar Sıcak"
"Zone-3 Ordnance","Bölge-3 Mühimmatı"
"Zone-3 Plating","Bölge-3 Kaplaması"
"Zone-3 Shielding","Bölge-3 Kalkanlaması"
"m027b","m027b"
"m033b","m033b"
"A Destroyer draws more power than your Zone-1 batteries supply. Fabricate 3 'Improved Battery' (Z2) and equip one per battery slot — you'll need the headroom for Zone-2 weapons.","Bir Destroyer, Bölge-1 bataryalarının sağlayabileceğinden daha fazla güç çeker. 3 adet 'Gelişmiş Batarya' (B2) üretin ve her batarya yuvasına bir tane donatın — Bölge-2 silahları için bu boşluğa ihtiyacınız olacak."
"Click LOADOUT 3, equip BOTH Micro-Missile Launchers there, then destroy a Scrap Collector in Lunar Orbit. Kinetic / Energy / Explosive now live in Loadouts 1 / 2 / 3 — before a fight, one click swaps your WHOLE ship modules.","MÜHİMMAT 3'e tıklayın, HER İKİ Mikro-Füze Fırlatıcıyı oraya donatın, ardından Ay Yörüngesindeki bir Hurda Toplayıcıyı yok edin. Kinetik / Enerji / Patlayıcı artık 1 / 2 / 3 numaralı mühimmatlarda bulunuyor — savaştan önce tek bir tıklama TÜM gemi modüllerinizi değiştirir."
"Construct a 'Battlecruiser' in the Shipyard.","Tersanede bir 'Muharebe Kruvazörü' inşa et."
"Construct a 'Destroyer' hull in the Shipyard. Needs 5 Reinforced Plating (same recipe as the Frigate) — stock Salvaged Alloy + Damaged Circuitry.","Tersanede bir 'Destroyer' gövdesi inşa et. 5 Güçlendirilmiş Kaplama gerektirir (Fırkateyn ile aynı tarif) — Kurtarılmış Alaşım + Hasarlı Devre stoğu yap."
"Construct a 'Dreadnought' in the Shipyard. Its blueprints sit behind 'Delta Sector Survey' research — four Sector Gamma boss cores.","Tersanede bir 'Dreadnought' inşa et. Planları 'Delta Sektörü Araştırması' araştırmasının arkasında yer alır — dört Sektör Gama patronu çekirdeği."
"Construct a Solar Array in Infrastructure — it generates power and keeps running even while you're away.","Altyapıda bir Güneş Paneli inşa et — güç üretir ve sen uzaktayken bile çalışmaya devam eder."
"Construct an 'Industrial Frigate' in the Shipyard. Its frame needs 4 Reinforced Plating — craft them in Engineering from Salvaged Alloy + Damaged Circuitry (Lunar Orbit drops, or the Steel/Circuit reclaim recipes).","Tersanede bir 'Endüstriyel Fırkateyn' inşa et. Gövdesi için 4 Güçlendirilmiş Kaplama gerekir — bunları Mühendislikte Kurtarılmış Alaşım + Hasarlı Devre (Ay Yörüngesi ganimetleri veya Çelik/Devre geri kazanım tarifleri) kullanarak üret."
"Craft 'Carbon Fiber Plate' in the Shipyard.","Tersanede 'Karbon Fiber Plaka' üret."
"Craft 10 Circuit Boards in the Engineering tab. Needs Tin — mine Cassiterite, then smelt it into Tin first.","Mühendislik sekmesinde 10 Devre Kartı üret. Kalay gerektirir — önce Kassiterit madenciliği yap, sonra onu Kalaya erit."
"Craft 10 Structural Components in the Engineering tab — the universal building block of heavy industry.","Mühendislik sekmesinde 10 Yapısal Bileşen üret — ağır sanayinin evrensel yapı taşı."
"Craft 2 'Mass Driver Mk.I' in the Shipyard.","Tersanede 2 adet 'Kütle Sürücüsü Mk.I' üret."
"Craft 5 Advanced Circuits in the Engineering tab. Three inputs need prep: Semiconductor (Silicon + Germanium), Gold (Gold Panning — Dirt + Water), and Silver (a Zinc Reduction byproduct).","Mühendislik sekmesinde 5 Gelişmiş Devre üret. Üç girdinin hazırlığa ihtiyacı var: Yarı İletken (Silikon + Germanyum), Altın (Altın Eleme — Toprak + Su) ve Gümüş (Çinko İndirgeme yan ürünü)."
"Craft 5 Battery Cells in the Engineering tab.","Mühendislik sekmesinde 5 Batarya Hücresi üret."
"Craft a 'Basic Battery' in the Shipyard.","Tersanede bir 'Temel Batarya' üret."
"Craft a 'Basic Shield' for protection.","Korunma için bir 'Temel Kalkan' üret."
"Craft a 'Basic Thruster' in the Shipyard.","Tersanede bir 'Temel İtici' üret."
"Craft a Cryo Lance in the Shipyard. It needs Cryo Catalyst - farm it from Sector 10 enemies.","Tersanede bir Kriyojenik Mızrak üret. Kriyo Katalizör gerektirir - Sektör 10 düşmanlarından topla."
"Decrypting the Sector Alpha charter takes two Glacial Overseer cores — defeat the Glacier Belt boss twice.","Sektör Alfa sözleşmesini çözmek için iki Buzul Gözetmeni çekirdeği gerekir — Buzul Kuşağı patronunu iki kez yen."
"Defeat 1 Lunar Drone in Lunar Orbit.","Ay Yörüngesinde 1 Ay Dronunu yen."
"Defeat 3 Alien Frigates in Sector Alpha.","Sektör Alfa'da 3 Uzaylı Fırkateynini yen."
"Defeat 3 Ice Wraiths in the Glacier Belt.","Buzul Kuşağında 3 Buz Hayaletini yen."
"Defeat 3 Scavenger Mechs in the Mars Debris zone.","Mars Enkazı bölgesinde 3 Yağmacı Meka yen."
"Defeat 5 Ore Guardians in Sector Beta.","Sektör Beta'da 5 Cevher Muhafızını yen."
"Defeat the BETA COLOSSUS 3 times — its cores are the key to Gamma Sector Clearance.","BETA DEVİNİ 3 kez yen — çekirdekleri Gama Sektörü İzni için anahtardır."
"Defeat the Martian Warmaster (Mars Debris boss) — its core decrypts the Glacier Belt charter.","Mars Savaş Ustası'nı (Mars Enkazı patronu) yen — çekirdeği Buzul Kuşağı sözleşmesini çözer."
"Defeat the Rogue Architect boss in Lunar Orbit.","Ay Yörüngesindeki Asi Mimar patronunu yen."
"Defeat the Silicate Monolith (Asteroid Belt boss) to salvage a Z2 Sector Core for the Mars Debris charter. Bosses demand a full RARE loadout — Common and Uncommon gear will not cut through. Work the Asteroid Belt BOUNTY BOARD: hunt contracts pay a GUARANTEED Rare module on claim. ENERGY hits it hardest — swap loadouts before the fight.","Mars Enkazı sözleşmesi için bir B2 Sektör Çekirdeği kurtarmak amacıyla Silikat Monolitini (Asteroit Kuşağı patronu) yen. Patronlar tam bir NADİR donanım talep eder — Yaygın ve Sıradışı teçhizatlar yetersiz kalacaktır. Asteroit Kuşağı ÖDÜL PANOSUNDA çalış: av sözleşmeleri tamamlandığında GARANTİLİ bir Nadir modül öder. ENERJİ en sert vuruşu yapar — dövüşten önce donanım setini değiştir."
"Defeated enemies drop gear of varying rarity. Farm Lunar Orbit until you get a RARE (blue) module drop.","Yenilen düşmanlar farklı nadirlikte teçhizatlar düşürür. NADİR (mavi) bir modül düşürene kadar Ay Yörüngesinde kasıl."
"Destroy a Warp Revenant in The Threshold (Sector 11) with your Cryo armaments.","Kriyojenik silahlarınla Eşik'te (Sektör 11) bir Warp Hayaletini yok et."
"Equip a RARE+ EXPLOSIVE weapon — the Architect is WEAK TO EXPLOSIVE, and the rare-tier punch ends fights fast.","NADİR+ bir PATLAYICI silah donat — Mimar PATLAYICIYA KARŞI ZAYIF ve nadir aşama vuruşu savaşları hızlıca bitirir."
"Equip a WEAPON and SHIELD in your Ship Designer.","Gemi Tasarımcısında bir SİLAH ve KALKAN donat."
"Equip at least 1 RARE+ Weapon.","En az 1 NADİR+ Silah donat."
"Gather 100 Malachite Ore.","100 Malahit Cevheri topla."
"Gather 100 units of Wood.","100 birim Odun topla."
"Gather 350 Dirt.","350 Toprak topla."
"Gather 350 units of Water.","350 birim Su topla."
"Hack Cards now drop in combat. Defeat enemies until a Splice Chip drops.","Hack Kartları artık savaşta düşüyor. Bir Ekleme Çipi düşene kadar düşmanları yen."
"In the Engineering page, produce 100 Ferrite Rounds to feed both your weapons.","Mühendislik sayfasında, her iki silahınızı da beslemek için 100 Ferrit Mermisi üretin."
"In the Engineering page, use the Charcoal Kiln to produce 50 Carbon.","Mühendislik sayfasında, 50 Karbon üretmek için Kömür Fırınını kullanın."
"In the Mine page, extract 100 Lithium Ore.","Maden sayfasında 100 Lityum Cevheri çıkar."
"In the Mine page, mine 100 Cassiterite (tin ore).","Maden sayfasında 100 Kassiterit (kalay cevheri) çıkar."
"Keep builds in separate slots: click LOADOUT 2, equip BOTH Pulse Lasers there, then destroy a Survey Probe in Lunar Orbit.","Dizilimleri ayrı yuvalarda tutun: MÜHİMMAT 2'ye tıklayın, HER İKİ Darbe Lazerini oraya donatın, ardından Ay Yörüngesindeki bir Araştırma Sondasını yok edin."
"Modern foundries burn Oxygen. In the Engineering tab, run Water Electrolysis to split Water — stock 30 Oxygen.","Modern dökümhaneler Oksijen yakar. Mühendislik sekmesinde Suyu ayırmak için Su Elektrolizini çalıştırın — 30 Oksijen stoklayın."
"Not every hostile falls to slugs. The Survey Probe RESISTS kinetic fire but is WEAK TO ENERGY. In the Shipyard, craft 2 'Pulse Laser Mk.I'","Her düşman mermilere boyun eğmez. Araştırma Sondası kinetik ateşe DİRENÇLİDİR ancak ENERJİYE KARŞI ZAYIFTIR. Tersanede 2 adet 'Darbe Lazeri Mk.I' üret."
"Now equip a Hull and a Shield repair kit in your Ship Designer's consumable slots. In combat, tap the HULL / SHLD buttons to spend one and patch up.","Şimdi Gemi Tasarımcınızın sarf malzemesi yuvalarına bir Gövde ve bir Kalkan tamir kiti donatın. Savaşta, birini harcamak ve onarım yapmak için GÖVDE / KLKN düğmelerine dokunun."
"Now smelt 50 Steel in the Engineering tab — the Basic-Oxygen furnace burns your Oxygen through molten iron.","Şimdi Mühendislik sekmesinde 50 Çelik eritin — Temel-Oksijen fırını erimiş demir üzerinden Oksijeninizi yakar."
"Open Bounties (left sidebar — it just unlocked). Each sector runs its own combat contract board: accept one, and kills in that sector count toward it automatically. Pays Liras + a ship module.","Ödülleri aç (sol kenar çubuğu — az önce açıldı). Her sektör kendi savaş sözleşmesi panosunu çalıştırır: birini kabul et, o sektördeki öldürmeler otomatik olarak buna sayılır. Lira + bir gemi modülü öder."
"Open Infrastructure (left sidebar). Buildings auto-produce in the background — always running, even offline. Build them whenever you can.","Altyapıyı aç (sol kenar çubuğu). Binalar arka planda otomatik olarak üretim yapar — çevrimdışı olsan bile her zaman çalışır. Fırsat buldukça onları inşa et."
"Open Infrastructure and INSTALL the Boost Card on a building you own — it unlocks that building's Efficiency slider up to 200%. Careful: output scales linearly, but input draw scales QUADRATICALLY (200% output = 4x input).","Altyapıyı açın ve sahip olduğunuz bir binaya Takviye Kartı KURUN — o binanın Verimlilik kaydırıcısının kilidini %200'e kadar açar. Dikkat: Çıktı doğrusal olarak ölçeklenir, ancak girdi çekimi KARESİYLE ölçeklenir (%200 çıktı = 4x girdi)."
"Open the Combat page (left sidebar). Pick a sector → a target → ENGAGE. Your Shield absorbs hits first, your Hull takes the overflow. Repair kits can auto-fire — set the threshold in Research.","Savaş sayfasını aç (sol kenar çubuğu). Bir sektör → bir hedef seç → ÇATIŞMAYA GİR. Önce Kalkanın darbeleri emer, Gövden ise taşanları alır. Tamir kitleri otomatik ateşlenebilir — Araştırmada eşiği ayarla."
"Open the Engineering page and process Dirt to extract 100 Silicon and 80 Iron.","Mühendislik sayfasını aç ve 100 Silikon ile 80 Demir çıkarmak için Toprağı işle."
"Open the Research tab and unlock Basic Engineering.","Araştırma sekmesini aç ve Temel Mühendisliğin kilidini aç."
"Open the Ship Designer and drag a Splice Chip onto a Common component to awaken it into a custom module with a random affix.","Gemi Tasarımcısını açın ve rastgele bir eke sahip özel bir modüle uyandırmak için bir Ekleme Çipini Yaygın bir bileşenin üzerine sürükleyin."
"Open the Ship Designer and equip BOTH Basic Batteries into the ship's BATTERY slots. Watch the GRID fill — now the ship can run modules.","Gemi Tasarımcısını açın ve HER İKİ Temel Bataryayı geminin BATARYA yuvalarına donatın. AĞIN dolmasını izleyin — artık gemi modülleri çalıştırabilir."
"Open the Ship Designer and equip BOTH Mass Drivers into your two WEAPON slots — twice the guns, twice the DPS.","Gemi Tasarımcısını açın ve HER İKİ Kütle Sürücüsünü iki SİLAH yuvanıza donatın — iki kat silah, iki kat DPS."
"Open the Ship Designer, then DRAG the Basic Battery from your Armory (right panel) onto an empty BATTERY slot.","Gemi Tasarımcısını açın, ardından Cephaneliğinizden (sağ panel) Temel Bataryayı boş bir BATARYA yuvasına SÜRÜKLEYİN."
"Open the Ship Designer, then DRAG the Basic Shield from your Armory (right panel) onto an empty SHIELD slot. Incoming damage hits the shield before your hull.","Gemi Tasarımcısını açın, ardından Cephaneliğinizden (sağ panel) Temel Kalkanı boş bir KALKAN yuvasına SÜRÜKLEYİN. Gelen hasar gövdenizden önce kalkana vurur."
"Open the Ship Designer, then DRAG the Basic Thruster from your Armory (right panel) onto an empty ENGINE slot.","Gemi Tasarımcısını açın, ardından Cephaneliğinizden (sağ panel) Temel İticiyi boş bir MOTOR yuvasına SÜRÜKLEYİN."
"Open your Inventory (left sidebar). Cargo is slot-limited — when it fills, new materials are LOST, not paused. Expand storage here as you grow.","Envanterini aç (sol kenar çubuğu). Kargo yuva ile sınırlıdır — dolduğunda yeni malzemeler DURAKLATILMAZ, KAYBOLUR. Büyüdükçe depolamayı buradan genişlet."
"Perform 5 Warps total to fully unlock Warp Tier scaling.","Warp Aşaması ölçeklendirmesinin kilidini tamamen açmak için toplam 5 Warp gerçekleştirin."
"Perform your first Warp. Your Liras and materials reset, but you gain Exotic Matter Shards for permanent multipliers that make each run stronger.","İlk Warp'ınızı gerçekleştirin. Liralarınız ve malzemeleriniz sıfırlanır, ancak her turu daha güçlü hale getiren kalıcı çarpanlar için Egzotik Madde Parçaları kazanırsınız."
"Produce 60 HE Missiles in the Engineering tab to arm a missile launcher — the Architect ahead is WEAK TO EXPLOSIVE.","Bir füze fırlatıcıyı silahlandırmak için Mühendislik sekmesinde 60 Yüksek Patlayıcılı Füze üretin — ileride bekleyen Mimar PATLAYICIYA KARŞI ZAYIF."
"Reach Sector Epsilon and discover the Primordial Core.","Sektör Epsilon'a ulaşın ve İlkel Çekirdeği keşfedin."
"Refine 50 Copper in the Engineering tab.","Mühendislik sekmesinde 50 Bakır arıt."
"Refine 50 Lithium in the Engineering tab.","Mühendislik sekmesinde 50 Lityum arıt."
"Reinforce your deflectors too. Fabricate 2 'Hardened Shield' (Z3) and equip one per shield slot before the Warmaster.","Deflektörlerinizi de güçlendirin. 2 adet 'Sertleştirilmiş Kalkan' (B3) üretin ve Savaş Ustası'ndan önce her kalkan yuvasına bir tane donatın."
"Repair kits keep you alive in combat. In the Engineering page, craft 5 Emergency Hull Patches and 5 Basic Shield Boosters. Boosters each need a Battery Cell — craft those first.","Tamir kitleri sizi savaşta hayatta tutar. Mühendislik sayfasında, 5 Acil Durum Gövde Yaması ve 5 Temel Kalkan Takviyesi üretin. Takviyelerin her biri bir Batarya Hücresine ihtiyaç duyar — önce onları üretin."
"Research 'Advanced Materials' to unlock heavier industrial recipes. It spends Common Artifacts from combat salvage.","Daha ağır endüstriyel tariflerin kilidini açmak için 'Gelişmiş Malzemeler'i araştırın. Savaş kurtarmalarından elde edilen Yaygın Eserleri harcar."
"Research 'Advanced Metallurgy'. Costs 100 Nickel — mine Pentlandite (just unlocked), then refine it with Carbon + Oxygen first.","'Gelişmiş Metalurji'yi araştırın. 100 Nikele mal olur — Pentlandit (yeni açıldı) madenciliği yapın, ardından önce Karbon + Oksijen ile arıtın."
"Research 'Asteroid Belt Authorization' in the Research tree to unlock the Asteroid Belt combat zone.","Asteroit Kuşağı savaş bölgesinin kilidini açmak için Araştırma ağacındaki 'Asteroit Kuşağı İzni'ni araştırın."
"Research 'Beta Colony Charter' (consumes the Harbinger cores + a large Superalloy + Titanium stock) to unlock Sector Beta.","Sektör Beta'nın kilidini açmak için 'Beta Kolonisi Sözleşmesi'ni araştır (Habercisi çekirdekleri + büyük bir Süperalaşım + Titanyum stoğu tüketir)."
"Research 'Energy Fields' to unlock shielding.","Kalkanlamanın kilidini açmak için 'Enerji Alanları'nı araştırın."
"Research 'Factory Automation' — the last gate before Advanced Circuits.","'Fabrika Otomasyonu'nu araştırın — Gelişmiş Devrelerden önceki son kapı."
"Research 'Gamma Sector Clearance' (consumes the Colossus cores + a heavy Superalloy + Tungsten stock) to unlock Sector Gamma.","Sektör Gama'nın kilidini açmak için 'Gama Sektörü İzni'ni araştır (Dev çekirdekleri + ağır bir Süperalaşım + Tungsten stoğu tüketir)."
"Research 'Glacier Belt Expedition' (spends the Warmaster core) to unlock the Glacier Belt zone.","Buzul Kuşağı bölgesinin kilidini açmak için 'Buzul Kuşağı Keşif Seferi'ni araştır (Savaş Ustası çekirdeğini harcar)."
"Research 'Kinetic Weapons Theory' in the Research tree.","Araştırma ağacındaki 'Kinetik Silah Teorisi'ni araştırın."
"Research 'Mars Debris Clearance' (spends the Monolith core you just salvaged) to unlock the Mars Debris zone.","Mars Enkazı bölgesinin kilidini açmak için 'Mars Enkazı İzni'ni araştır (Az önce kurtardığın Monolit çekirdeğini harcar)."
"Research 'Organic Combustion' to unlock Germanium extraction (needed for semiconductors).","Germanyum çıkarma işleminin kilidini açmak için 'Organik Yanma'yı araştır (yarı iletkenler için gereklidir)."
"Research 'Organic Combustion' to unlock the Industrial Kiln, Carbon Fiber, and combustion-powered generators. (The manual Charcoal Kiln needs no research.)","Endüstriyel Fırın, Karbon Fiber ve yanma ile çalışan jeneratörlerin kilidini açmak için 'Organik Yanma'yı araştır. (Manuel Kömür Fırınının araştırmaya ihtiyacı yoktur.)"
"Research 'Organic Combustion', then 'Efficient Smelting' beneath it, for alloys.","Alaşımlar için 'Organik Yanma'yı, ardından altındaki 'Verimli Eritme'yi araştır."
"Research 'Power Systems' for batteries.","Bataryalar için 'Güç Sistemleri'ni araştır."
"Research 'Sector Alpha Decryption' (consumes the Overseer cores + a stock of Superalloy — craft it in Engineering) to breach Sector Alpha.","Sektör Alfa'ya girmek için 'Sektör Alfa Şifre Çözümü'nü araştır (Gözetmen çekirdekleri + bir miktar Süperalaşım tüketir — Mühendislikte üret)."
"Research 'Shipwright I' for hull reinforcement.","Gövde güçlendirmesi için 'Gemi Yapımcısı I'i araştır."
"Research 'Shipwright II' to unlock Destroyer-class hulls.","Destroyer sınıfı gövdelerin kilidini açmak için 'Gemi Yapımcısı II'yi araştır."
"Research the 'Industrial Logistics' hub.","'Endüstriyel Lojistik' merkezini araştır."
"Research the 'Materials Science' hub.","'Malzeme Bilimi' merkezini araştır."
